Station Code,Station Name,Line,Sub-Region,Platform Level,Platform Type,Platform Level,Faregates,Bike Parkade,Connecting Routes,POP2019 (rounded),EMP2019 (rounded),Service Change 1,Service Change 2,Service Change 3,Service Change 4,Service Change 5,Service Change 6
TS,22nd Street,EL,Burnaby/New Westminster,Elevated,Side,Elevated,6,No,100; 101; 104; 128; 155; 340; 388; 410; 418,4000,0,"-July 2019, upgrades to bus exchange completed","-Sep 2019, new battery electric bus charging station at bus exchange opened",,,,
TN,29th Avenue,EL,Vancouver/UBC,Below ground,Centre,Below ground,10,No,16; 26; 29; 33,14000,1000,,,,,,
AB,Aberdeen,CL,Richmond,Elevated,Side,Elevated,8,No,403; 410; N10,2000,7000,"-September 2014, New direct entrance to inbound platform from Aberdeen Square mall opened",,,,,
BD,Braid,EL,Burnaby/New Westminster,Elevated,Side,Elevated,6,No,128; 153; 155; 156; 159; 169; 791,3000,1000,,,,,,
BR,Brentwood Town Centre,ML,Burnaby/New Westminster,Elevated,Side,Elevated,3,No,25; 123; 130; 134; 136; N9,14000,7000,,,,,,
BP,Bridgeport,CL,Richmond,Elevated,Centre,Elevated,5,Under construction,311; 351; 352; 354; 403; 407; 412; 430; 480; 601; 602; 603; 604; 620; N10,2000,2000,,,,,,
BW,Broadway (Commercial–Broadway),EL,Vancouver/UBC,Elevated,Centre,Elevated,12,Yes,9; 20; 99; N9; N20,15000,7000,,,,,,
BW,Broadway–City Hall,CL,Vancouver/UBC,Below ground,Side,Below ground,5,No,9; 15; 17; 99; N9; N15,17000,25000,,,,,,
BQ,Burquitlam,ML,Northeast Sector,Elevated,Side,Elevated,5,Under construction,143; 151; 156; 157; 180; N9,11000,1000,"-December 2, 2016, Station opened as part of the Millennium Line Evergreen Extension",,,,,
BU,Burrard,EL,Vancouver/UBC,Below ground,Side (stacked),Below ground,17,No,2; 5; 19; 22; 32; 44; 95; 209; 210; 211; 214; N22; N24,24000,97000,,,,,,
CO,Columbia,EL,Burnaby/New Westminster,Below ground,Side,Below ground,9,No,103; 105; 109; N19,12000,4000,,,,,,
